chamber,session,roll call,member,vote
House,1,86,C000754,Yes
House,1,86,C001110,Yes
House,1,86,C001059,Yes
House,1,86,C001069,Yes
House,1,86,C001124,Yes
House,1,86,C001119,Yes
House,1,86,C001087,No
House,1,86,C001120,No
House,1,86,C001111,Yes
House,1,86,C001121,Yes
House,1,86,C001063,Yes
House,1,86,C000984,Yes
House,1,86,C001122,Yes
House,1,86,C001114,No
House,1,86,D000629,Yes
House,1,86,D000626,No
House,1,86,D000598,Yes
House,1,86,D000096,Yes
House,1,86,D000619,No
House,1,86,D000631,Yes
House,1,86,D000191,Yes
House,1,86,D000197,Yes
House,1,86,D000216,Yes
House,1,86,D000617,Yes
House,1,86,D000630,Yes
House,1,86,D000627,Yes
House,1,86,D000623,Yes
House,1,86,D000616,No
House,1,86,D000610,Not Voting
House,1,86,D000600,No
House,1,86,D000624,Yes
House,1,86,D000399,Yes
House,1,86,D000482,Yes
House,1,86,D000614,No
House,1,86,D000615,No
House,1,86,D000628,No
House,1,86,E000294,No
House,1,86,E000179,Yes
House,1,86,E000299,Yes
House,1,86,E000215,Yes
House,1,86,E000297,Yes
House,1,86,E000298,No
House,1,86,E000296,Yes
House,1,86,F000465,No
House,1,86,F000467,Yes
House,1,86,F000466,No
House,1,86,F000459,No
House,1,86,F000468,Yes
House,1,86,F000461,No
House,1,86,F000449,No
House,1,86,F000454,Yes
House,1,86,F000450,No
House,1,86,F000462,Yes
House,1,86,F000455,Yes
House,1,86,F000469,No
House,1,86,G000571,Yes
House,1,86,G000578,No
House,1,86,G000579,No
House,1,86,G000574,Yes
House,1,86,G000559,Yes
House,1,86,G000586,Yes
House,1,86,G000587,Yes
House,1,86,G000584,No
House,1,86,G000563,No
House,1,86,G000552,No
House,1,86,G000592,Yes
House,1,86,G000585,Yes
House,1,86,G000588,No
House,1,86,G000581,Yes
House,1,86,G000589,No
House,1,86,G000565,No
House,1,86,G000583,Yes
House,1,86,G000377,No
House,1,86,G000560,No
House,1,86,G000577,No
House,1,86,G000546,No
House,1,86,G000590,No
House,1,86,G000553,Yes
House,1,86,G000568,No
House,1,86,G000551,Yes
House,1,86,G000576,No
House,1,86,G000591,No
House,1,86,G000558,No
House,1,86,H001080,Yes
House,1,86,H001088,No
House,1,86,H001090,Yes
House,1,86,H001052,No
House,1,86,H001053,No
House,1,86,H000324,Yes
House,1,86,H001081,Yes
House,1,86,H001064,Yes
House,1,86,H001082,No
House,1,86,H001056,No
House,1,86,H001071,No
House,1,86,H001077,No
House,1,86,H001038,Yes
House,1,86,H001072,No
House,1,86,H001087,Yes
House,1,86,H001047,Yes
House,1,86,H001065,No
House,1,86,H001074,No
House,1,86,H001083,Yes
House,1,86,H001066,Yes
House,1,86,H001085,Yes
House,1,86,H000874,Yes
House,1,86,H001067,No
House,1,86,H001068,Yes
House,1,86,H001058,No
House,1,86,H001048,No
House,1,86,H001073,No
House,1,86,J000032,Yes
House,1,86,J000298,Yes
House,1,86,J000294,Yes
House,1,86,J000288,Yes
House,1,86,J000299,No
House,1,86,J000292,No
House,1,86,J000301,No
House,1,86,J000126,Yes
House,1,86,J000289,No
House,1,86,J000295,No
House,1,86,J000302,No
House,1,86,K000009,Yes
House,1,86,K000386,No
House,1,86,K000375,Yes
House,1,86,K000385,Yes
House,1,86,K000388,No
House,1,86,K000376,No
House,1,86,K000379,Yes
House,1,86,K000389,Yes
House,1,86,K000380,Yes
House,1,86,K000381,Yes
House,1,86,K000394,Yes
House,1,86,K000188,Yes
House,1,86,K000362,No
House,1,86,K000210,No
House,1,86,K000378,Not Voting
House,1,86,K000368,Yes
House,1,86,K000391,Yes
House,1,86,K000382,Yes
House,1,86,K000392,No
House,1,86,L000585,No
House,1,86,L000578,No
House,1,86,L000588,Yes
House,1,86,L000564,No
House,1,86,L000559,Yes
House,1,86,L000560,Yes
House,1,86,L000557,Yes
House,1,86,L000566,No
House,1,86,L000581,Yes
House,1,86,L000586,Yes
House,1,86,L000551,Yes
