GAME_ID,TEAM_NAME,FG_PCT,WON,TEAM_NAME_OPP,FG_PCT_OPP,FG_PCT_DIFF
21700155,Denver Nuggets,0.473,1,Brooklyn Nets,0.42700000000000005,0.04599999999999993
21700156,Philadelphia 76ers,0.42,1,Utah Jazz,0.303,0.11699999999999999
21700157,Portland Trail Blazers,0.444,0,Memphis Grizzlies,0.479,-0.034999999999999976
21700158,Oklahoma City Thunder,0.337,0,Sacramento Kings,0.46799999999999997,-0.13099999999999995
21700159,Detroit Pistons,0.518,1,Indiana Pacers,0.43200000000000005,0.08599999999999997
21700160,Orlando Magic,0.5379999999999999,1,New York Knicks,0.525,0.0129999999999999
21700161,Los Angeles Lakers,0.435,0,Boston Celtics,0.38799999999999996,0.04700000000000004
21700162,Phoenix Suns,0.455,0,Miami Heat,0.531,-0.07600000000000001
21700163,Minnesota Timberwolves,0.413,0,Golden State Warriors,0.565,-0.15199999999999997
21700164,Washington Wizards,0.518,1,Los Angeles Lakers,0.36,0.15800000000000003
21700165,Toronto Raptors,0.45899999999999996,1,New Orleans Pelicans,0.537,-0.07800000000000007
21700166,Houston Rockets,0.46799999999999997,1,Cleveland Cavaliers,0.556,-0.08800000000000008
21700167,Philadelphia 76ers,0.425,0,Sacramento Kings,0.43,-0.0050000000000000044
21700168,Oklahoma City Thunder,0.42200000000000004,0,Denver Nuggets,0.46299999999999997,-0.040999999999999925
21700169,Atlanta Hawks,0.494,0,Detroit Pistons,0.43799999999999994,0.05600000000000005
21700170,Boston Celtics,0.35700000000000004,1,Charlotte Hornets,0.38799999999999996,-0.030999999999999917
21700171,Chicago Bulls,0.39799999999999996,0,Indiana Pacers,0.512,-0.11400000000000005
21700172,Oklahoma City Thunder,0.513,1,LA Clippers,0.46399999999999997,0.049000000000000044
21700173,Milwaukee Bucks,0.461,1,San Antonio Spurs,0.425,0.03600000000000003
21700174,Phoenix Suns,0.46799999999999997,0,Orlando Magic,0.524,-0.05600000000000005
21700175,Utah Jazz,0.33799999999999997,0,Miami Heat,0.39,-0.052000000000000046
21700176,Portland Trail Blazers,0.42100000000000004,0,Brooklyn Nets,0.429,-0.007999999999999952
21700177,Atlanta Hawks,0.41,0,Washington Wizards,0.5379999999999999,-0.12799999999999995
21700178,New Orleans Pelicans,0.5379999999999999,1,LA Clippers,0.40700000000000003,0.1309999999999999
21700179,New York Knicks,0.522,1,Sacramento Kings,0.375,0.14700000000000002
21700180,Houston Rockets,0.446,1,Memphis Grizzlies,0.48100000000000004,-0.03500000000000003
21700181,Dallas Mavericks,0.424,0,Cleveland Cavaliers,0.43200000000000005,-0.008000000000000063
21700182,Los Angeles Lakers,0.419,0,Milwaukee Bucks,0.41200000000000003,0.006999999999999951
21700183,Chicago Bulls,0.465,0,San Antonio Spurs,0.6,-0.13499999999999995
21700184,Philadelphia 76ers,0.46799999999999997,0,Golden State Warriors,0.585,-0.11699999999999999
21700185,Orlando Magic,0.47100000000000003,0,Denver Nuggets,0.529,-0.057999999999999996
21700186,Phoenix Suns,0.535,1,Minnesota Timberwolves,0.406,0.129
21700187,Brooklyn Nets,0.461,0,Utah Jazz,0.48200000000000004,-0.02100000000000002
21700188,Boston Celtics,0.402,1,Toronto Raptors,0.46399999999999997,-0.061999999999999944
21700189,Miami Heat,0.433,0,Detroit Pistons,0.483,-0.04999999999999999
21700190,Indiana Pacers,0.446,0,Houston Rockets,0.478,-0.03199999999999997
21700191,Dallas Mavericks,0.425,0,Oklahoma City Thunder,0.5,-0.07500000000000001
21700192,Washington Wizards,0.512,1,Sacramento Kings,0.405,0.10699999999999998
21700193,New York Knicks,0.43200000000000005,0,Cleveland Cavaliers,0.39799999999999996,0.034000000000000086
21700194,Milwaukee Bucks,0.488,1,Memphis Grizzlies,0.48700000000000004,0.0009999999999999454
